E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	E26	E27	E28	E29	E30	E31	E32	E33	E34	E35	E36	E37	E38	E39	E40	E41	E42	E43	E44	E45	E46	E47	E48	E49	E50	E51	E52	E53	E54	E55	E56	E57	E58	E59	E60	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	EQ	SQ	accuracy	gender	age
3	2	3	2	4	1	1	3	2	1	1	1	4	1	1	3	2	1	3	4	2	3	1	1	2	3	4	1	1	4	1	1	4	1	1	3	3	1	1	3	1	1	2	4	2	3	1	3	2	3	1	2	3	1	3	2	1	4	4	2	3	2	3	2	4	1	1	3	2	1	1	1	4	1	1	3	2	1	3	4	2	3	1	1	2	3	4	1	1	4	1	1	4	1	1	3	3	1	1	3	1	1	2	4	2	3	1	3	2	3	1	2	3	1	3	2	1	4	4	2	49	48	100	1	24
4	2	4	1	2	2	2	4	1	3	1	1	4	2	1	4	1	4	4	3	1	4	1	3	1	1	4	2	1	4	2	1	2	1	2	1	4	4	3	4	4	4	2	4	3	4	3	2	1	4	1	2	3	4	4	4	1	4	4	2	4	2	4	1	2	2	2	4	1	3	1	1	4	2	1	4	1	4	4	3	1	4	1	3	1	1	4	2	1	4	2	1	2	1	2	1	4	4	3	4	4	4	2	4	3	4	3	2	1	4	1	2	3	4	4	4	1	4	4	2	28	38	100	2	18
4	1	2	1	4	2	3	2	2	4	1	1	4	3	3	3	3	2	4	4	3	3	4	1	4	1	4	4	3	3	2	1	3	4	1	3	4	2	3	2	4	3	4	3	1	3	2	4	4	2	1	2	4	2	3	2	2	4	4	1	4	1	2	1	4	2	3	2	2	4	1	1	4	3	3	3	3	2	4	4	3	3	4	1	4	1	4	4	3	3	2	1	3	4	1	3	4	2	3	2	4	3	4	3	1	3	2	4	4	2	1	2	4	2	3	2	2	4	4	1	27	56	98	2	22
2	2	3	3	1	3	3	2	3	3	2	2	3	2	3	2	1	2	2	3	2	4	2	2	3	2	3	3	2	3	1	2	2	2	3	2	2	2	2	2	2	3	2	2	3	4	2	2	2	3	3	2	3	2	4	2	2	4	4	2	2	2	3	3	1	3	3	2	3	3	2	2	3	2	3	2	1	2	2	3	2	4	2	2	3	2	3	3	2	3	1	2	2	2	3	2	2	2	2	2	2	3	2	2	3	4	2	2	2	3	3	2	3	2	4	2	2	4	4	2	68	25	99	2	32
4	2	4	3	3	4	1	4	1	3	1	2	2	1	1	3	3	2	1	4	1	3	4	1	3	4	4	3	1	3	3	2	4	3	2	1	1	3	4	2	1	4	1	4	4	3	2	1	1	4	4	2	2	2	1	2	3	3	2	3	4	2	4	3	3	4	1	4	1	3	1	2	2	1	1	3	3	2	1	4	1	3	4	1	3	4	4	3	1	3	3	2	4	3	2	1	1	3	4	2	1	4	1	4	4	3	2	1	1	4	4	2	2	2	1	2	3	3	2	3	23	25	88	2	13
4	2	4	1	2	4	1	2	1	4	4	3	2	2	1	4	3	3	1	1	1	4	4	4	3	4	3	4	1	1	4	2	2	2	2	3	1	4	3	3	1	3	1	4	4	1	4	1	1	2	4	4	2	4	2	3	4	4	4	4	4	2	4	1	2	4	1	2	1	4	4	3	2	2	1	4	3	3	1	1	1	4	4	4	3	4	3	4	1	1	4	2	2	2	2	3	1	4	3	3	1	3	1	4	4	1	4	1	1	2	4	4	2	4	2	3	4	4	4	4	48	9	85	2	18
2	3	3	2	2	2	1	4	3	3	3	1	2	2	3	2	3	2	2	3	3	3	3	2	2	3	3	3	2	3	2	3	2	2	3	3	2	1	2	2	2	3	2	2	3	4	3	2	2	3	3	3	2	3	2	3	3	3	3	2	2	3	3	2	2	2	1	4	3	3	3	1	2	2	3	2	3	2	2	3	3	3	3	2	2	3	3	3	2	3	2	3	2	2	3	3	2	1	2	2	2	3	2	2	3	4	3	2	2	3	3	3	2	3	2	3	3	3	3	2	54	14	95	2	19
3	3	3	1	4	2	3	4	4	1	1	1	4	1	2	1	2	1	1	4	1	3	1	1	1	2	1	2	1	1	2	2	4	1	2	1	3	2	3	2	2	2	2	4	4	4	2	1	2	4	2	1	2	1	3	4	1	4	2	4	3	3	3	1	4	2	3	4	4	1	1	1	4	1	2	1	2	1	1	4	1	3	1	1	1	2	1	2	1	1	2	2	4	1	2	1	3	2	3	2	2	2	2	4	4	4	2	1	2	4	2	1	2	1	3	4	1	4	2	4	54	36	95	1	15
3	2	4	1	1	1	2	3	3	3	3	3	2	0	1	4	1	1	2	3	1	3	4	1	1	2	1	4	1	2	1	3	1	1	4	3	2	4	1	4	3	4	2	4	4	2	4	1	2	2	4	2	3	4	2	4	4	3	3	3	3	2	4	1	1	1	2	3	3	3	3	3	2	0	1	4	1	1	2	3	1	3	4	1	1	2	1	4	1	2	1	3	1	1	4	3	2	4	1	4	3	4	2	4	4	2	4	1	2	2	4	2	3	4	2	4	4	3	3	3	47	16	90	2	28
4	3	2	2	4	2	2	1	1	1	3	1	4	2	4	2	3	1	2	4	2	3	2	2	3	1	3	4	1	2	3	2	1	3	2	1	2	4	4	1	2	2	2	4	3	4	2	1	4	2	3	1	1	1	4	2	4	2	3	4	4	3	2	2	4	2	2	1	1	1	3	1	4	2	4	2	3	1	2	4	2	3	2	2	3	1	3	4	1	2	3	2	1	3	2	1	2	4	4	1	2	2	2	4	3	4	2	1	4	2	3	1	1	1	4	2	4	2	3	4	44	33	100	1	21
3	1	4	1	3	2	2	3	1	3	3	3	3	2	2	3	2	2	3	3	2	3	2	2	2	2	2	3	2	3	2	3	4	2	2	1	3	2	3	3	2	3	2	3	3	3	2	3	3	3	2	3	3	3	3	3	2	4	3	2	3	1	4	1	3	2	2	3	1	3	3	3	3	2	2	3	2	2	3	3	2	3	2	2	2	2	2	3	2	3	2	3	4	2	2	1	3	2	3	3	2	3	2	3	3	3	2	3	3	3	2	3	3	3	3	3	2	4	3	2	14	26	75	2	18
2	2	3	2	3	3	3	4	3	2	3	2	3	2	1	2	2	2	2	4	3	3	3	2	3	3	3	3	1	2	3	3	3	2	2	3	2	3	2	2	2	3	2	4	3	4	2	2	2	2	3	2	1	2	2	2	3	3	4	3	2	2	3	2	3	3	3	4	3	2	3	2	3	2	1	2	2	2	2	4	3	3	3	2	3	3	3	3	1	2	3	3	3	2	2	3	2	3	2	2	2	3	2	4	3	4	2	2	2	2	3	2	1	2	2	2	3	3	4	3	27	16	75	1	21
2	1	4	2	2	2	2	2	3	4	2	2	4	1	1	4	3	2	2	3	2	4	4	1	4	2	2	4	1	2	3	1	3	3	2	4	2	1	4	1	1	3	3	4	3	4	2	1	2	4	2	3	3	4	3	1	2	4	2	2	2	1	4	2	2	2	2	2	3	4	2	2	4	1	1	4	3	2	2	3	2	4	4	1	4	2	2	4	1	2	3	1	3	3	2	4	2	1	4	1	1	3	3	4	3	4	2	1	2	4	2	3	3	4	3	1	2	4	2	2	15	30	95	2	24
3	2	2	2	2	3	3	3	2	3	2	3	2	2	2	2	2	2	2	4	4	2	3	2	2	2	3	3	1	2	2	3	2	3	2	3	2	2	2	3	2	3	2	2	3	3	2	2	2	2	3	3	2	2	2	2	2	3	3	3	3	2	2	2	2	3	3	3	2	3	2	3	2	2	2	2	2	2	2	4	4	2	3	2	2	2	3	3	1	2	2	3	2	3	2	3	2	2	2	3	2	3	2	2	3	3	2	2	2	2	3	3	2	2	2	2	2	3	3	3	39	15	100	1	16
3	1	3	2	2	3	1	3	4	3	2	1	4	3	2	3	2	2	2	4	3	2	3	1	4	2	3	2	2	4	2	2	2	3	1	3	4	1	1	1	3	2	2	2	2	4	2	2	4	3	3	2	2	3	4	1	3	4	4	3	3	1	3	2	2	3	1	3	4	3	2	1	4	3	2	3	2	2	2	4	3	2	3	1	4	2	3	2	2	4	2	2	2	3	1	3	4	1	1	1	3	2	2	2	2	4	2	2	4	3	3	2	2	3	4	1	3	4	4	3	32	37	90	1	18
1	1	3	3	3	4	3	2	3	3	1	1	4	3	4	4	3	1	4	4	1	4	4	2	2	2	4	3	1	2	3	1	4	2	3	1	3	2	2	2	3	2	3	4	4	4	4	3	4	3	2	2	2	4	4	3	2	4	3	4	1	1	3	3	3	4	3	2	3	3	1	1	4	3	4	4	3	1	4	4	1	4	4	2	2	2	4	3	1	2	3	1	4	2	3	1	3	2	2	2	3	2	3	4	4	4	4	3	4	3	2	2	2	4	4	3	2	4	3	4	31	36	80	1	22
2	1	3	1	1	3	2	2	1	1	1	1	3	1	3	3	3	2	1	3	1	2	2	1	2	0	4	4	1	2	2	3	2	3	1	4	4	4	2	2	2	3	2	1	1	4	1	1	1	4	2	3	1	4	2	2	2	3	2	4	2	1	3	1	1	3	2	2	1	1	1	1	3	1	3	3	3	2	1	3	1	2	2	1	2	0	4	4	1	2	2	3	2	3	1	4	4	4	2	2	2	3	2	1	1	4	1	1	1	4	2	3	1	4	2	2	2	3	2	4	16	24	75	1	18
3	1	1	1	3	1	1	1	1	4	2	1	1	1	4	4	4	2	4	4	4	3	2	2	2	3	4	2	4	4	2	1	4	4	3	3	2	2	3	3	2	3	3	4	4	4	2	3	3	4	1	1	4	1	4	2	3	4	4	4	3	1	1	1	3	1	1	1	1	4	2	1	1	1	4	4	4	2	4	4	4	3	2	2	2	3	4	2	4	4	2	1	4	4	3	3	2	2	3	3	2	3	3	4	4	4	2	3	3	4	1	1	4	1	4	2	3	4	4	4	36	40	90	1	21
3	1	3	3	2	2	3	3	1	4	2	3	3	2	4	4	2	2	3	3	1	2	2	4	1	1	1	3	2	3	3	2	2	3	3	2	3	3	3	2	3	2	1	4	3	1	4	3	2	2	2	3	3	3	3	2	2	4	3	1	3	1	3	3	2	2	3	3	1	4	2	3	3	2	4	4	2	2	3	3	1	2	2	4	1	1	1	3	2	3	3	2	2	3	3	2	3	3	3	2	3	2	1	4	3	1	4	3	2	2	2	3	3	3	3	2	2	4	3	1	17	32	97	2	43
3	1	3	2	3	2	3	1	3	4	3	1	4	3	1	3	3	1	3	3	2	2	4	2	4	1	4	4	1	1	2	1	3	1	1	4	3	1	4	2	4	2	1	1	2	4	2	2	4	3	3	1	4	1	3	2	1	4	4	2	3	1	3	2	3	2	3	1	3	4	3	1	4	3	1	3	3	1	3	3	2	2	4	2	4	1	4	4	1	1	2	1	3	1	1	4	3	1	4	2	4	2	1	1	2	4	2	2	4	3	3	1	4	1	3	2	1	4	4	2	39	41	94	2	17
3	3	4	1	1	4	1	2	4	4	3	4	3	1	3	4	4	4	1	3	1	4	1	4	1	1	4	4	4	3	4	2	3	1	3	1	4	1	2	4	1	1	1	4	4	4	4	1	1	4	4	4	1	4	1	4	4	4	3	4	3	3	4	1	1	4	1	2	4	4	3	4	3	1	3	4	4	4	1	3	1	4	1	4	1	1	4	4	4	3	4	2	3	1	3	1	4	1	2	4	1	1	1	4	4	4	4	1	1	4	4	4	1	4	1	4	4	4	3	4	23	21	100	2	14
3	1	3	1	2	2	1	3	2	4	2	1	3	1	3	4	3	2	2	4	1	4	1	3	2	3	3	4	3	4	4	2	4	2	1	4	2	3	2	3	2	3	4	3	3	4	3	1	1	4	2	4	1	4	2	3	2	3	3	4	3	1	3	1	2	2	1	3	2	4	2	1	3	1	3	4	3	2	2	4	1	4	1	3	2	3	3	4	3	4	4	2	4	2	1	4	2	3	2	3	2	3	4	3	3	4	3	1	1	4	2	4	1	4	2	3	2	3	3	4	56	23	93	1	18
1	1	3	4	4	4	2	3	1	3	1	1	4	3	4	3	3	2	2	4	3	3	4	1	3	3	2	3	4	3	2	1	3	3	2	1	3	2	2	1	4	2	1	3	2	2	3	3	3	3	2	3	3	3	2	2	1	4	1	4	1	1	3	4	4	4	2	3	1	3	1	1	4	3	4	3	3	2	2	4	3	3	4	1	3	3	2	3	4	3	2	1	3	3	2	1	3	2	2	1	4	2	1	3	2	2	3	3	3	3	2	3	3	3	2	2	1	4	1	4	17	44	85	1	18
3	2	2	2	3	2	3	4	3	3	2	1	3	2	1	3	2	2	2	4	2	2	2	2	3	2	2	2	2	3	3	1	4	3	2	2	2	3	4	3	2	2	3	4	4	4	2	2	3	2	2	3	3	3	2	2	2	3	4	2	3	2	2	2	3	2	3	4	3	3	2	1	3	2	1	3	2	2	2	4	2	2	2	2	3	2	2	2	2	3	3	1	4	3	2	2	2	3	4	3	2	2	3	4	4	4	2	2	3	2	2	3	3	3	2	2	2	3	4	2	52	31	95	2	20
2	1	2	2	4	2	2	4	2	3	1	2	3	3	2	4	3	2	3	4	2	3	2	2	3	3	2	3	4	4	2	1	4	4	2	2	1	2	4	1	2	3	4	3	3	3	4	2	3	2	3	4	2	3	2	2	1	4	3	3	2	1	2	2	4	2	2	4	2	3	1	2	3	3	2	4	3	2	3	4	2	3	2	2	3	3	2	3	4	4	2	1	4	4	2	2	1	2	4	1	2	3	4	3	3	3	4	2	3	2	3	4	2	3	2	2	1	4	3	3	16	34	95	2	17
2	1	3	3	3	2	2	4	2	3	2	1	3	2	4	4	2	2	2	4	2	3	2	2	2	3	2	3	3	3	3	2	3	3	2	1	3	2	3	2	2	2	1	4	4	3	1	2	1	2	3	2	3	2	2	3	2	4	3	2	2	1	3	3	3	2	2	4	2	3	2	1	3	2	4	4	2	2	2	4	2	3	2	2	2	3	2	3	3	3	3	2	3	3	2	1	3	2	3	2	2	2	1	4	4	3	1	2	1	2	3	2	3	2	2	3	2	4	3	2	40	30	90	1	16
1	2	4	1	2	2	1	1	4	2	4	1	1	1	3	4	2	3	1	3	2	2	4	2	3	1	3	4	1	1	3	1	1	2	3	4	1	4	2	2	1	2	3	4	1	3	1	1	1	3	4	1	1	2	1	2	4	3	4	3	1	2	4	1	2	2	1	1	4	2	4	1	1	1	3	4	2	3	1	3	2	2	4	2	3	1	3	4	1	1	3	1	1	2	3	4	1	4	2	2	1	2	3	4	1	3	1	1	1	3	4	1	1	2	1	2	4	3	4	3	62	17	98	2	47
4	1	3	2	4	1	2	2	3	4	1	2	3	3	4	3	4	1	2	4	3	2	1	1	3	1	2	4	1	2	1	1	4	1	1	3	3	4	3	3	2	3	1	4	3	4	1	2	3	2	2	2	3	2	2	2	2	4	4	2	4	1	3	2	4	1	2	2	3	4	1	2	3	3	4	3	4	1	2	4	3	2	1	1	3	1	2	4	1	2	1	1	4	1	1	3	3	4	3	3	2	3	1	4	3	4	1	2	3	2	2	2	3	2	2	2	2	4	4	2	62	42	90	2	23
1	1	2	2	4	2	2	4	1	3	2	1	3	3	4	4	3	1	1	4	1	4	2	1	3	3	3	3	1	1	2	3	4	4	2	2	2	2	4	2	3	3	2	3	2	4	2	2	3	1	2	2	1	4	3	1	2	4	3	4	1	1	2	2	4	2	2	4	1	3	2	1	3	3	4	4	3	1	1	4	1	4	2	1	3	3	3	3	1	1	2	3	4	4	2	2	2	2	4	2	3	3	2	3	2	4	2	2	3	1	2	2	1	4	3	1	2	4	3	4	22	35	91	1	19
1	2	4	3	2	3	2	3	2	3	3	4	1	1	1	3	1	3	1	3	1	3	4	3	3	4	1	4	1	1	3	2	1	1	1	2	1	2	3	3	1	2	1	1	4	4	2	1	1	3	4	3	1	2	2	3	4	3	3	4	1	2	4	3	2	3	2	3	2	3	3	4	1	1	1	3	1	3	1	3	1	3	4	3	3	4	1	4	1	1	3	2	1	1	1	2	1	2	3	3	1	2	1	1	4	4	2	1	1	3	4	3	1	2	2	3	4	3	3	4	58	9	80	2	22
1	2	3	2	2	3	1	2	3	2	3	3	1	3	2	3	1	3	2	3	2	4	3	2	2	3	3	2	3	2	2	3	3	1	3	2	1	4	2	3	3	2	3	4	3	3	2	2	2	2	4	3	2	2	2	3	3	4	2	3	1	2	3	2	2	3	1	2	3	2	3	3	1	3	2	3	1	3	2	3	2	4	3	2	2	3	3	2	3	2	2	3	3	1	3	2	1	4	2	3	3	2	3	4	3	3	2	2	2	2	4	3	2	2	2	3	3	4	2	3	43	9	90	2	16
4	2	3	4	4	1	3	2	1	4	1	1	4	4	4	4	2	1	4	3	1	3	1	2	3	1	2	3	4	4	2	1	3	4	2	2	4	1	3	1	4	3	1	4	1	4	1	4	4	4	2	2	4	1	4	2	1	4	4	2	4	2	3	4	4	1	3	2	1	4	1	1	4	4	4	4	2	1	4	3	1	3	1	2	3	1	2	3	4	4	2	1	3	4	2	2	4	1	3	1	4	3	1	4	1	4	1	4	4	4	2	2	4	1	4	2	1	4	4	2	36	66	90	2	33
2	4	2	1	3	3	2	4	4	3	2	1	3	2	2	3	3	1	2	3	4	3	1	2	3	3	3	3	2	3	2	3	2	2	2	4	2	1	4	2	1	3	3	2	4	4	2	2	3	1	4	3	2	1	3	3	4	3	3	4	2	4	2	1	3	3	2	4	4	3	2	1	3	2	2	3	3	1	2	3	4	3	1	2	3	3	3	3	2	3	2	3	2	2	2	4	2	1	4	2	1	3	3	2	4	4	2	2	3	1	4	3	2	1	3	3	4	3	3	4	36	20	90	1	15
2	2	2	1	2	3	1	2	3	4	3	4	2	1	2	3	2	2	2	3	3	4	4	1	2	3	2	2	1	2	2	2	2	1	3	3	3	2	2	4	3	4	2	3	2	4	2	2	3	2	2	3	2	2	3	3	2	3	4	3	2	2	2	1	2	3	1	2	3	4	3	4	2	1	2	3	2	2	2	3	3	4	4	1	2	3	2	2	1	2	2	2	2	1	3	3	3	2	2	4	3	4	2	3	2	4	2	2	3	2	2	3	2	2	3	3	2	3	4	3	42	17	87	2	22
2	1	3	2	3	4	2	3	2	4	2	2	4	2	4	4	3	2	1	3	1	3	3	1	1	2	2	4	4	2	1	2	2	2	3	1	2	1	3	3	2	3	2	2	2	3	3	1	2	4	3	4	1	3	2	3	2	3	3	3	2	1	3	2	3	4	2	3	2	4	2	2	4	2	4	4	3	2	1	3	1	3	3	1	1	2	2	4	4	2	1	2	2	2	3	1	2	1	3	3	2	3	2	2	2	3	3	1	2	4	3	4	1	3	2	3	2	3	3	3	14	22	70	2	23
4	4	3	1	4	2	4	4	2	3	2	1	4	2	3	3	4	1	2	4	4	4	1	1	3	1	4	4	2	4	3	4	4	3	2	2	3	4	1	1	3	1	2	4	2	3	1	1	3	3	2	3	4	3	4	1	3	4	4	4	4	4	3	1	4	2	4	4	2	3	2	1	4	2	3	3	4	1	2	4	4	4	1	1	3	1	4	4	2	4	3	4	4	3	2	2	3	4	1	1	3	1	2	4	2	3	1	1	3	3	2	3	4	3	4	1	3	4	4	4	47	46	100	2	21
4	3	3	2	3	2	2	3	3	3	1	2	3	3	1	2	2	3	3	4	2	2	1	3	3	1	3	4	2	3	4	2	2	2	3	3	3	2	3	3	3	3	2	3	2	4	2	3	2	3	1	3	3	3	3	3	2	3	3	3	4	3	3	2	3	2	2	3	3	3	1	2	3	3	1	2	2	3	3	4	2	2	1	3	3	1	3	4	2	3	4	2	2	2	3	3	3	2	3	3	3	3	2	3	2	4	2	3	2	3	1	3	3	3	3	3	2	3	3	3	46	30	95	2	17
4	4	3	1	3	2	3	4	4	4	3	4	4	1	3	2	1	1	3	4	3	4	1	1	1	1	2	4	1	4	2	3	3	1	2	3	4	2	2	3	4	3	1	4	2	4	3	3	4	2	2	4	4	2	3	3	2	4	4	1	4	4	3	1	3	2	3	4	4	4	3	4	4	1	3	2	1	1	3	4	3	4	1	1	1	1	2	4	1	4	2	3	3	1	2	3	4	2	2	3	4	3	1	4	2	4	3	3	4	2	2	4	4	2	3	3	2	4	4	1	33	44	95	2	26
3	1	2	1	4	3	3	1	2	4	1	1	4	3	3	3	2	1	3	4	1	2	2	1	4	2	2	4	2	2	1	2	3	4	2	3	3	4	1	1	3	4	4	3	3	2	2	2	3	2	4	2	2	1	3	1	1	3	3	3	3	1	2	1	4	3	3	1	2	4	1	1	4	3	3	3	2	1	3	4	1	2	2	1	4	2	2	4	2	2	1	2	3	4	2	3	3	4	1	1	3	4	4	3	3	2	2	2	3	2	4	2	2	1	3	1	1	3	3	3	50	40	100	1	30
3	3	3	2	2	2	1	1	4	2	2	2	3	3	1	3	2	2	3	2	3	3	3	2	2	2	2	1	3	4	2	2	2	2	2	3	3	1	3	2	2	3	2	4	2	3	2	2	2	1	2	2	1	2	3	2	3	3	3	3	3	3	3	2	2	2	1	1	4	2	2	2	3	3	1	3	2	2	3	2	3	3	3	2	2	2	2	1	3	4	2	2	2	2	2	3	3	1	3	2	2	3	2	4	2	3	2	2	2	1	2	2	1	2	3	2	3	3	3	3	47	28	98	2	18
2	2	3	2	1	2	1	4	2	3	2	4	3	3	1	3	4	3	1	3	1	3	2	4	2	1	1	4	3	4	4	1	2	1	3	2	1	2	3	3	1	3	3	3	3	2	1	1	1	3	3	4	2	4	2	3	2	0	2	3	2	2	3	2	1	2	1	4	2	3	2	4	3	3	1	3	4	3	1	3	1	3	2	4	2	1	1	4	3	4	4	1	2	1	3	2	1	2	3	3	1	3	3	3	3	2	1	1	1	3	3	4	2	4	2	3	2	0	2	3	46	15	60	2	18
4	1	4	4	2	2	2	4	2	3	2	3	4	2	3	4	4	1	2	2	2	4	2	2	2	2	3	4	3	4	3	1	2	3	2	1	3	2	2	2	2	3	2	4	3	2	2	3	2	2	2	3	3	4	4	2	2	3	3	3	4	1	4	4	2	2	2	4	2	3	2	3	4	2	3	4	4	1	2	2	2	4	2	2	2	2	3	4	3	4	3	1	2	3	2	1	3	2	2	2	2	3	2	4	3	2	2	3	2	2	2	3	3	4	4	2	2	3	3	3	2	34	85	2	16
4	1	3	2	3	2	2	4	2	1	1	1	4	1	4	4	2	1	4	4	1	4	2	2	1	3	1	2	3	3	3	2	4	3	2	1	2	1	4	2	2	1	2	4	2	1	3	2	1	3	2	4	4	4	3	1	2	4	2	2	4	1	3	2	3	2	2	4	2	1	1	1	4	1	4	4	2	1	4	4	1	4	2	2	1	3	1	2	3	3	3	2	4	3	2	1	2	1	4	2	2	1	2	4	2	1	3	2	1	3	2	4	4	4	3	1	2	4	2	2	9	43	90	2	15
4	1	3	1	4	4	1	1	4	4	1	1	4	4	1	4	4	1	4	4	1	4	1	1	1	1	4	3	1	3	1	1	2	4	3	4	4	4	2	1	4	4	1	2	1	4	1	4	4	4	2	1	4	1	4	1	1	4	4	1	4	1	3	1	4	4	1	1	4	4	1	1	4	4	1	4	4	1	4	4	1	4	1	1	1	1	4	3	1	3	1	1	2	4	3	4	4	4	2	1	4	4	1	2	1	4	1	4	4	4	2	1	4	1	4	1	1	4	4	1	46	54	89	1	19
4	1	3	2	4	3	3	2	3	4	2	1	4	4	4	4	3	2	1	4	1	4	3	2	1	3	4	2	1	1	1	4	4	4	2	4	2	4	4	1	1	4	2	4	4	1	2	1	2	3	3	2	3	3	1	2	2	4	3	4	4	1	3	2	4	3	3	2	3	4	2	1	4	4	4	4	3	2	1	4	1	4	3	2	1	3	4	2	1	1	1	4	4	4	2	4	2	4	4	1	1	4	2	4	4	1	2	1	2	3	3	2	3	3	1	2	2	4	3	4	37	32	100	1	22
4	2	4	2	2	1	2	2	1	1	2	3	4	2	2	3	3	1	4	4	3	3	2	1	3	2	3	3	2	4	2	1	3	2	3	2	4	2	4	3	3	2	2	4	3	3	2	2	3	4	3	4	3	1	3	1	2	4	3	2	4	2	4	2	2	1	2	2	1	1	2	3	4	2	2	3	3	1	4	4	3	3	2	1	3	2	3	3	2	4	2	1	3	2	3	2	4	2	4	3	3	2	2	4	3	3	2	2	3	4	3	4	3	1	3	1	2	4	3	2	13	38	93	2	16
1	2	3	2	2	2	1	2	2	3	2	3	2	4	1	3	3	3	2	3	1	4	3	3	3	3	1	3	1	3	2	2	2	3	3	1	1	2	4	3	1	2	2	3	3	3	1	1	2	2	3	4	1	4	2	2	3	4	4	2	1	2	3	2	2	2	1	2	2	3	2	3	2	4	1	3	3	3	2	3	1	4	3	3	3	3	1	3	1	3	2	2	2	3	3	1	1	2	4	3	1	2	2	3	3	3	1	1	2	2	3	4	1	4	2	2	3	4	4	2	16	13	100	2	19
2	1	3	1	1	3	2	2	3	4	4	1	1	2	1	1	1	2	1	1	1	4	2	1	1	3	3	4	1	2	2	1	1	3	2	3	1	4	3	3	1	2	1	4	3	4	1	1	1	3	4	1	2	2	1	3	3	3	4	3	2	1	3	1	1	3	2	2	3	4	4	1	1	2	1	1	1	2	1	1	1	4	2	1	1	3	3	4	1	2	2	1	1	3	2	3	1	4	3	3	1	2	1	4	3	4	1	1	1	3	4	1	2	2	1	3	3	3	4	3	69	15	90	2	18
4	1	3	2	4	2	4	2	3	1	1	2	4	3	4	4	2	1	4	4	3	2	1	1	2	3	3	2	3	3	2	2	4	3	1	2	4	2	3	1	4	2	4	4	2	4	3	4	4	4	2	4	4	3	3	1	1	4	3	1	4	1	3	2	4	2	4	2	3	1	1	2	4	3	4	4	2	1	4	4	3	2	1	1	2	3	3	2	3	3	2	2	4	3	1	2	4	2	3	1	4	2	4	4	2	4	3	4	4	4	2	4	4	3	3	1	1	4	3	1	18	58	95	1	54
2	3	3	3	4	1	2	3	3	4	2	3	3	1	3	3	2	1	3	4	1	2	1	1	3	1	1	3	1	4	2	2	4	1	2	2	4	2	3	2	3	2	1	3	3	2	3	4	3	4	2	3	4	4	4	2	2	3	4	1	2	3	3	3	4	1	2	3	3	4	2	3	3	1	3	3	2	1	3	4	1	2	1	1	3	1	1	3	1	4	2	2	4	1	2	2	4	2	3	2	3	2	1	3	3	2	3	4	3	4	2	3	4	4	4	2	2	3	4	1	29	47	85	2	20
2	2	3	3	3	2	2	2	3	2	3	3	3	1	1	4	3	2	2	4	1	4	2	3	3	4	2	4	1	2	3	2	3	2	3	3	2	3	2	3	2	2	2	4	3	2	3	1	2	2	1	1	2	2	3	3	3	3	3	4	2	2	3	3	3	2	2	2	3	2	3	3	3	1	1	4	3	2	2	4	1	4	2	3	3	4	2	4	1	2	3	2	3	2	3	3	2	3	2	3	2	2	2	4	3	2	3	1	2	2	1	1	2	2	3	3	3	3	3	4	50	17	93	1	16
3	2	2	2	3	3	1	4	4	4	4	2	2	2	2	3	2	2	3	4	2	3	2	2	2	2	2	4	1	4	2	2	3	2	2	3	2	4	4	3	2	2	2	4	3	4	3	2	2	3	4	3	3	4	3	2	2	4	3	2	3	2	2	2	3	3	1	4	4	4	4	2	2	2	2	3	2	2	3	4	2	3	2	2	2	2	2	4	1	4	2	2	3	2	2	3	2	4	4	3	2	2	2	4	3	4	3	2	2	3	4	3	3	4	3	2	2	4	3	2	40	24	98	2	18
2	2	3	2	2	1	2	4	2	3	3	3	3	1	3	4	3	2	3	2	2	2	2	2	2	2	3	3	2	3	3	2	2	3	2	2	3	4	3	3	2	3	2	4	3	2	3	2	3	2	2	3	4	4	4	3	3	4	3	1	2	2	3	2	2	1	2	4	2	3	3	3	3	1	3	4	3	2	3	2	2	2	2	2	2	2	3	3	2	3	3	2	2	3	2	2	3	4	3	3	2	3	2	4	3	2	3	2	3	2	2	3	4	4	4	3	3	4	3	1	8	25	87	2	24
1	2	2	1	1	3	1	1	2	3	3	2	2	2	1	3	3	3	2	2	2	2	1	3	3	3	2	2	1	2	3	3	1	2	3	2	2	3	3	3	2	2	3	1	2	3	1	2	2	4	3	4	3	3	3	3	3	3	2	3	1	2	2	1	1	3	1	1	2	3	3	2	2	2	1	3	3	3	2	2	2	2	1	3	3	3	2	2	1	2	3	3	1	2	3	2	2	3	3	3	2	2	3	1	2	3	1	2	2	4	3	4	3	3	3	3	3	3	2	3	33	8	80	2	23
