Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	Q11	Q12	country
1	3	1	4	3	2	2	4	1	2	1	1	US
1	4	3	4	1	1	1	1	1	3	1	1	US
3	3	4	3	3	1	4	2	1	3	1	3	US
1	2	2	3	3	2	3	4	3	2	3	3	AU
1	3	1	4	3	3	4	4	1	4	4	3	US
2	2	4	3	3	2	3	4	3	4	4	3	US
1	3	4	1	1	1	4	1	1	2	3	1	US
1	2	1	1	4	2	2	2	1	2	2	2	CA
2	2	2	1	2	4	2	2	4	2	3	2	US
1	1	2	2	1	4	2	3	1	1	2	2	CA
1	2	4	2	1	1	2	3	1	2	4	2	US
2	3	1	2	1	1	3	3	2	1	3	2	ZA
3	3	2	4	3	1	4	4	3	4	1	1	US
1	3	3	1	3	3	4	2	1	2	4	3	US
1	3	1	4	2	2	2	2	4	3	2	2	US
4	3	3	4	2	4	4	4	3	4	4	1	AU
2	1	1	2	2	3	4	2	4	2	2	2	US
3	1	3	1	3	1	2	1	1	2	4	1	SG
1	4	3	4	1	1	1	1	1	3	1	1	US
1	3	1	2	1	1	4	3	1	1	1	1	HK
4	3	1	4	4	3	2	2	4	3	2	1	US
4	2	1	2	2	4	2	4	4	2	4	2	US
2	1	1	2	2	3	4	2	4	2	2	2	US
2	1	1	2	2	3	4	2	4	2	2	2	US
4	2	4	3	3	4	2	1	4	3	2	4	US
3	2	2	1	3	4	3	4	3	2	1	1	US
2	2	1	1	4	2	2	2	4	2	2	2	US
3	4	4	1	2	3	1	3	1	2	2	1	US
4	3	4	4	4	4	3	4	3	4	4	4	US
2	3	4	4	4	2	2	4	1	4	4	1	CA
3	2	1	2	4	4	2	2	1	3	3	2	US
2	1	4	2	2	2	2	2	2	2	4	2	US
2	3	1	3	3	1	2	3	3	4	2	2	BR
2	3	4	3	3	2	2	3	4	4	2	2	BR
4	3	3	2	1	3	2	2	1	2	4	1	NP
1	3	3	2	1	1	4	1	1	3	4	1	GB
4	2	2	4	1	1	1	3	3	2	1	1	US
3	1	4	4	4	3	3	1	3	4	4	4	US
4	1	4	1	4	4	4	4	4	2	3	1	IN
1	3	4	2	2	3	2	2	1	2	3	3	US
3	2	2	3	2	3	4	3	3	1	3	1	US
1	3	3	4	3	3	3	4	3	3	1	4	HK
3	3	1	3	3	1	4	1	3	4	1	3	US
3	3	3	3	3	3	3	4	3	4	3	3	CA
2	3	2	1	4	3	2	2	1	3	1	1	US
2	4	4	1	2	3	3	2	4	1	1	1	US
4	3	1	4	4	4	2	4	2	2	4	4	US
4	4	1	1	4	3	4	4	4	1	1	4	SG
1	3	1	4	3	1	2	1	3	4	3	3	US
1	3	1	2	1	1	1	3	1	3	1	1	US
1	3	2	2	4	3	2	2	4	2	3	3	IN
3	4	1	3	3	3	4	4	4	4	4	3	US
3	3	3	4	1	1	3	3	4	2	3	1	US
2	2	2	4	3	3	3	3	3	1	1	1	US
2	2	4	4	1	4	1	1	3	2	1	1	US
1	4	3	1	1	1	1	3	2	2	2	3	US
4	1	3	4	3	3	3	2	2	4	3	2	CA
4	3	1	1	4	3	4	4	3	4	4	2	US
2	2	4	1	2	1	3	1	4	1	1	2	CA
4	2	4	2	4	3	3	1	2	2	3	4	US
