"AS1","AS2","AS3","AS4","AS5","AS6","AS7","AS8","AS9","AS10","SC1","SC2","SC3","SC4","SC5","SC6","SC7","SC8","SC9","SC10","AD1","AD2","AD3","AD4","AD5","AD6","AD7","AD8","AD9","AD10","DO1","DO2","DO3","DO4","DO5","DO6","DO7","DO8","DO9","DO10","age","gender"
3,4,4,4,4,3,5,5,3,4,4,4,2,3,3,4,2,3,4,3,5,5,5,3,4,2,3,3,3,3,5,5,4,4,3,3,4,4,3,2,18,2
3,3,2,3,3,4,3,3,2,1,3,3,4,3,2,3,3,2,3,3,5,5,5,5,3,2,2,2,2,2,3,3,3,4,3,3,4,4,4,3,29,2
3,4,3,3,3,4,3,3,1,2,2,3,3,3,4,2,2,4,2,3,5,5,4,4,2,2,3,3,1,2,5,5,3,3,3,3,3,4,3,3,25,2
5,5,5,5,4,4,3,3,1,1,4,4,2,5,4,2,2,2,3,3,5,4,5,5,3,4,2,3,2,4,4,4,4,4,4,2,4,4,3,2,29,1
2,4,3,4,3,3,3,3,2,1,3,2,4,2,4,3,2,3,4,2,4,4,4,3,4,4,2,4,5,5,5,5,4,2,2,4,4,3,2,3,26,1
4,5,4,5,4,5,2,2,1,1,4,3,3,4,5,3,1,1,3,1,5,5,5,4,3,1,1,2,1,1,5,4,3,3,4,4,5,5,3,3,35,2
5,3,4,4,3,3,2,1,1,1,4,5,5,5,3,1,3,2,2,1,5,5,5,4,2,1,1,1,1,1,4,4,4,3,4,3,5,5,2,2,31,1
4,2,3,3,4,3,1,3,1,1,3,1,3,4,3,1,2,2,1,4,5,5,5,5,3,2,2,4,1,1,5,5,3,1,1,1,5,4,1,2,26,1
5,3,4,4,4,4,2,3,2,1,4,2,4,4,3,4,3,3,5,1,3,2,5,4,2,3,3,4,3,2,3,2,2,1,3,3,5,3,1,2,60,2
5,4,4,4,5,4,4,3,2,2,2,4,3,4,3,2,2,3,4,2,5,5,5,4,2,4,2,1,1,3,5,5,5,4,2,4,5,4,4,2,18,2
