submittime,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
2015-03-30 14:49:43,27,564,64,153,31,169,65,21,17,73,81,1,5,675,19,689,4,78,653,35,3,2,4,2,3,1,4,2,4,3,4,4,3,2,1,4,3,3,4,3,2,3,4,4,2,5,2,4,4,3,3,4,4,2,2,4,3,3,2,3,5,2,4,1,4,1,4,4,3,3
2015-03-30 14:46:03,16,256,66,250,85,1000,25,45,85,120,85,60,6,700,50,700,2,50,3000,40,4,1,5,2,5,1,4,2,4,1,2,4,3,5,2,1,1,1,1,1,1,5,1,5,2,5,1,4,5,5,5,4,4,1,2,2,4,2,3,4,5,1,4,1,5,1,5,5,5,5
2015-03-30 14:44:39,59,894,67,246,67,598,55,49,46,80,82,15,6,700,79,780,3,50,3201,45,2,3,4,3,4,3,5,1,2,2,5,2,5,3,4,4,3,3,5,3,3,5,5,4,3,3,2,4,4,2,3,4,3,4,1,4,4,5,2,3,2,2,5,2,4,1,4,2,5,4
2015-03-30 14:52:35,50,500,66,300,45,12,32,24,35,88,89,2,6,777,44,799,2,10,2015,55,1,1,3,2,4,1,4,4,4,5,4,3,3,3,4,4,4,1,4,3,5,3,2,3,3,3,2,3,4,3,3,1,4,2,2,3,3,3,1,4,5,5,4,4,3,2,3,3,3,5
2015-03-30 14:45:14,69,456,55,344,4,555,7,19,12,69,84,38,6,788,50,655,3,35,677,45,2,1,3,3,4,2,5,3,5,2,5,1,5,1,4,5,5,5,3,4,1,5,2,5,2,5,2,5,5,4,5,4,5,3,5,2,5,1,5,5,4,2,4,1,5,5,5,5,3,5
2015-03-30 14:44:57,54,200,88,458,58,125,98,45,23,120,85,75,7,756,95,753,2,65,872,50,1,4,1,5,2,4,1,5,1,5,5,3,5,3,4,4,4,3,5,3,1,3,1,5,3,5,4,5,4,3,5,1,5,5,3,1,5,3,4,3,4,2,5,1,4,2,4,3,4,4
2015-03-30 14:45:08,60,70,55,400,17,1233,17,77,11,65,88,19,6,700,11,700,4,99,78,33,4,3,2,2,4,2,4,2,3,4,5,4,4,2,5,4,4,2,3,4,2,2,3,4,4,4,4,4,2,3,1,5,3,4,1,4,3,4,2,2,5,2,4,2,4,1,4,4,3,4
2015-03-30 14:47:34,60,589,59,485,98,1054,68,40,75,130,82,67,6,700,2,601,3,15,3154,54,2,1,5,2,5,1,0,3,3,3,2,4,2,1,1,1,1,1,1,1,1,5,1,5,1,4,1,4,3,4,3,2,3,2,2,2,2,2,2,2,2,2,5,1,2,1,3,1,2,3
2015-03-30 14:52:36,71,466,73,847,1,923,100,23,61,92,83,57,5,621,12,748,4,283,4012,58,1,4,2,3,1,2,3,3,5,5,1,5,5,4,1,3,1,2,1,1,5,3,1,3,3,3,3,3,4,2,5,1,5,1,4,1,5,1,0,4,5,2,5,1,4,1,4,5,5,5
2015-03-30 14:48:34,50,162,51,410,45,24,45,17,55,120,85,50,6,700,12,700,3,50,1182,45,3,2,4,3,4,2,4,3,3,2,4,3,1,2,1,4,2,3,4,2,2,4,2,4,2,4,2,4,4,4,4,2,4,2,4,2,4,2,3,4,4,2,5,3,4,1,4,0,4,4
2015-03-30 14:52:04,50,500,66,300,50,4,50,30,50,100,85,50,7,700,50,700,3,50,2000,45,2,4,2,5,5,1,1,1,5,5,5,2,1,1,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5,5,2,5,5,5,3,5,3,1,3,4,3,2,5,1,4,3,5,3,5,3
2015-03-30 14:50:26,82,35,62,375,82,365,56,47,82,100,87,82,7,789,82,789,3,82,125,56,3,2,4,5,4,2,2,5,1,5,5,5,5,4,2,5,3,3,4,1,2,5,2,4,3,4,2,5,4,3,4,4,5,3,2,5,4,3,4,3,3,2,5,2,3,1,5,1,4,4
2015-03-30 14:49:49,47,72,88,250,2,900,89,10,12,75,81,1,7,602,99,799,3,15,3673,49,3,2,2,3,3,2,2,3,4,4,5,3,4,2,2,4,4,4,5,3,3,4,4,3,4,1,3,0,2,3,2,2,4,4,1,5,4,3,1,4,5,3,5,4,4,1,4,5,4,4
2015-03-30 14:52:47,18,8,88,222,8,888,8,8,18,80,88,18,6,608,8,788,2,8,818,48,2,3,4,2,4,2,2,3,3,5,1,5,3,5,3,1,2,1,1,1,1,5,1,5,2,5,1,5,5,5,5,1,4,1,3,2,4,1,3,4,3,1,5,2,4,1,4,2,5,4
2015-03-30 14:50:37,55,100,65,400,7,1000,45,10,50,120,85,55,7,700,99,750,3,12,95,40,3,4,4,4,2,4,2,4,2,4,5,3,4,3,3,4,3,3,4,2,4,3,1,4,3,4,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
2015-03-30 14:53:05,2,900,60,200,5,1000,25,34,34,80,82,2,6,799,5,612,3,58,3456,56,5,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,2,2,4,3,1,4,2,4,1,4,2,5,4,4,2,2,4,2,4,2,4,4,2,4,2,4,4,4,4,2,4,2,4,4
2015-03-30 14:55:24,48,698,56,226,23,602,12,8,92,125,86,88,8,674,57,795,3,49,3016,35,2,1,5,1,5,1,5,2,3,1,3,4,2,5,2,3,4,0,3,1,1,5,1,1,1,4,1,5,4,4,1,2,4,2,1,4,5,2,4,4,3,2,5,1,4,1,4,3,4,4
2015-03-30 15:06:47,69,666,69,244,69,666,69,24,69,69,84,69,6,666,69,666,3,69,6666,33,3,3,3,3,3,3,2,5,2,3,5,3,5,3,3,3,2,2,2,3,5,4,2,5,1,5,1,3,4,4,1,3,3,4,3,3,3,2,2,3,1,5,5,3,3,2,3,2,3,3
2015-03-30 15:01:53,24,500,50,101,43,134,78,45,89,120,90,40,7,700,99,786,3,89,3000,57,2,4,3,4,4,3,2,4,4,5,4,4,4,5,4,4,5,5,4,5,5,3,1,4,2,5,3,4,4,2,3,1,4,1,5,1,5,2,3,3,3,1,5,1,5,1,5,4,5,5
2015-03-30 14:59:02,75,852,53,400,90,1203,99,43,99,80,81,99,6,700,50,750,3,84,2000,40,3,1,5,1,5,1,5,3,4,2,2,4,4,4,1,2,2,3,3,2,1,5,2,5,1,4,1,5,4,3,4,2,5,3,5,1,5,1,5,5,4,1,2,1,4,4,4,4,4,4
2015-03-30 15:05:31,27,999,88,300,39,256,49,49,56,99,86,96,7,765,4,789,3,67,3706,55,4,1,4,2,3,2,5,3,4,3,3,4,3,4,4,3,3,2,4,2,1,4,2,4,2,4,2,4,3,3,3,2,3,2,2,2,4,2,3,4,5,1,4,2,4,2,4,4,3,4
2015-03-30 18:10:24,34,8,68,354,32,845,65,7,55,98,86,45,8,687,45,777,3,45,2048,37,2,1,4,2,3,2,2,2,2,3,4,3,5,2,4,3,3,1,3,2,1,5,1,3,3,4,2,4,2,3,2,3,4,1,3,4,5,2,4,5,5,1,3,1,5,4,5,3,5,4
2015-03-30 17:42:45,56,315,63,225,37,571,15,41,66,83,82,7,6,674,27,777,3,45,3017,48,2,2,5,2,5,2,4,4,2,4,2,4,2,2,2,1,2,3,1,1,1,5,1,5,1,5,1,5,5,5,2,2,4,1,2,1,4,1,4,3,5,2,4,2,4,1,4,4,5,5
2015-03-30 15:04:29,78,376,72,432,33,1239,56,48,28,125,87,95,6,763,30,676,3,67,3012,51,4,2,4,2,4,2,4,2,3,2,1,4,5,2,0,4,2,3,1,3,1,5,2,5,1,5,1,4,4,4,2,4,4,3,2,4,3,2,3,3,5,1,5,1,4,5,4,4,5,5
2015-03-30 15:02:48,22,788,66,122,77,1000,45,40,88,88,89,4,6,777,45,700,2,14,4000,33,5,1,5,1,5,1,5,3,5,1,5,5,5,4,2,4,2,2,5,2,1,5,1,5,1,5,1,5,5,5,5,1,5,2,5,1,5,3,5,5,4,2,5,1,4,1,5,4,3,5
2015-03-30 15:08:47,50,500,77,300,50,623,500,29,50,100,85,50,6,700,50,700,3,50,2045,45,5,3,3,4,4,2,4,3,4,4,5,2,4,2,4,4,5,4,4,4,4,2,1,3,4,4,2,4,3,4,4,2,4,3,2,4,1,2,2,4,2,4,5,4,4,2,4,2,3,5
2015-03-30 15:03:54,7,7,66,207,7,999,7,49,7,100,85,7,7,700,7,700,3,7,777,45,4,2,5,2,4,3,4,2,4,3,2,4,4,2,5,2,3,2,1,4,1,5,2,4,1,4,2,4,4,4,3,5,3,4,1,4,1,2,2,2,3,2,2,2,3,2,4,3,4,2
2015-03-30 15:05:21,80,600,55,350,60,1100,80,45,50,120,85,30,7,700,20,700,3,40,3145,46,2,4,3,3,2,2,1,2,2,5,5,2,5,2,3,4,4,4,4,4,1,3,4,5,1,4,3,4,5,3,3,4,5,5,2,4,2,4,2,4,3,1,4,2,3,3,5,3,4,4
2015-03-30 15:12:24,7,200,50,150,32,500,7,12,12,65,85,7,7,650,50,700,2,50,100,40,4,1,5,1,4,1,5,1,4,2,3,5,4,4,1,2,3,2,4,1,1,4,3,4,2,5,1,2,4,3,5,1,5,1,5,4,5,3,5,4,4,1,4,2,5,5,4,2,5,4
